"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-10","Canada","2021A000011124","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062944","1.1.1.6.1.1","16528.9","","","","1"
"2024-10","Canada","2021A000011124","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062945","1.2.1.6.1.1","14601.2","","","","1"
"2024-10","Canada","2021A000011124","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062946","1.3.1.6.1.1","13759.8","","","","1"
"2024-10","Canada","2021A000011124","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062947","1.4.1.6.1.1","12321.8","","","","1"
"2024-10","Canada","2021A000011124","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062948","1.5.1.6.1.1","1438.0","","","","1"
"2024-10","Canada","2021A000011124","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062949","1.6.1.6.1.1","841.4","","","","1"
"2024-10","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2062950","1.7.1.6.1.1","5.8","","","","1"
"2024-10","Canada","2021A000011124","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2062951","1.8.1.6.1.1","88.3","","","","1"
"2024-10","Canada","2021A000011124","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2062952","1.9.1.6.1.1","83.2","","","","1"
"2024-10","Newfoundland and Labrador","2021A000210","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063133","2.1.1.6.1.1","195.1","","","","1"
"2024-10","Newfoundland and Labrador","2021A000210","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063134","2.2.1.6.1.1","170.6","","","","1"
"2024-10","Newfoundland and Labrador","2021A000210","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063135","2.3.1.6.1.1","156.5","","","","1"
"2024-10","Newfoundland and Labrador","2021A000210","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063136","2.4.1.6.1.1","145.0","","","","1"
"2024-10","Newfoundland and Labrador","2021A000210","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063137","2.5.1.6.1.1","11.5","","","","1"
"2024-10","Newfoundland and Labrador","2021A000210","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063138","2.6.1.6.1.1","14.1","","","","1"
"2024-10","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063139","2.7.1.6.1.1","8.3","","","","1"
"2024-10","Newfoundland and Labrador","2021A000210","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063140","2.8.1.6.1.1","87.4","","","","1"
"2024-10","Newfoundland and Labrador","2021A000210","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063141","2.9.1.6.1.1","80.2","","","","1"
"2024-10","Prince Edward Island","2021A000211","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063322","3.1.1.6.1.1","68.7","","","","1"
"2024-10","Prince Edward Island","2021A000211","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063323","3.2.1.6.1.1","62.8","","","","1"
"2024-10","Prince Edward Island","2021A000211","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063324","3.3.1.6.1.1","56.5","","","","1"
"2024-10","Prince Edward Island","2021A000211","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063325","3.4.1.6.1.1","52.2","","","","1"
"2024-10","Prince Edward Island","2021A000211","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063326","3.5.1.6.1.1","4.3","","","","1"
"2024-10","Prince Edward Island","2021A000211","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063327","3.6.1.6.1.1","6.3","","","","1"
"2024-10","Prince Edward Island","2021A000211","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063328","3.7.1.6.1.1","10.0","","","","1"
"2024-10","Prince Edward Island","2021A000211","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063329","3.8.1.6.1.1","91.4","","","","1"
"2024-10","Prince Edward Island","2021A000211","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063330","3.9.1.6.1.1","82.2","","","","1"
"2024-10","Nova Scotia","2021A000212","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063511","4.1.1.6.1.1","408.3","","","","1"
"2024-10","Nova Scotia","2021A000212","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063512","4.2.1.6.1.1","359.0","","","","1"
"2024-10","Nova Scotia","2021A000212","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063513","4.3.1.6.1.1","339.5","","","","1"
"2024-10","Nova Scotia","2021A000212","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063514","4.4.1.6.1.1","305.2","","","","1"
"2024-10","Nova Scotia","2021A000212","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063515","4.5.1.6.1.1","34.4","","","","1"
"2024-10","Nova Scotia","2021A000212","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063516","4.6.1.6.1.1","19.5","","","","1"
"2024-10","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063517","4.7.1.6.1.1","5.4","","","","1"
"2024-10","Nova Scotia","2021A000212","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063518","4.8.1.6.1.1","87.9","","","","1"
"2024-10","Nova Scotia","2021A000212","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063519","4.9.1.6.1.1","83.1","","","","1"
"2024-10","New Brunswick","2021A000213","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063700","5.1.1.6.1.1","313.6","","","","1"
"2024-10","New Brunswick","2021A000213","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063701","5.2.1.6.1.1","275.8","","","","1"
"2024-10","New Brunswick","2021A000213","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063702","5.3.1.6.1.1","259.5","","","","1"
"2024-10","New Brunswick","2021A000213","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063703","5.4.1.6.1.1","234.5","","","","1"
"2024-10","New Brunswick","2021A000213","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063704","5.5.1.6.1.1","25.0","","","","1"
"2024-10","New Brunswick","2021A000213","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063705","5.6.1.6.1.1","16.2","","","","1"
"2024-10","New Brunswick","2021A000213","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063706","5.7.1.6.1.1","5.9","","","","1"
"2024-10","New Brunswick","2021A000213","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063707","5.8.1.6.1.1","87.9","","","","1"
"2024-10","New Brunswick","2021A000213","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063708","5.9.1.6.1.1","82.7","","","","1"
"2024-10","Quebec","2021A000224","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063889","6.1.1.6.1.1","3493.9","","","","1"
"2024-10","Quebec","2021A000224","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063890","6.2.1.6.1.1","3149.9","","","","1"
"2024-10","Quebec","2021A000224","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063891","6.3.1.6.1.1","2992.6","","","","1"
"2024-10","Quebec","2021A000224","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063892","6.4.1.6.1.1","2754.3","","","","1"
"2024-10","Quebec","2021A000224","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063893","6.5.1.6.1.1","238.3","","","","1"
"2024-10","Quebec","2021A000224","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063894","6.6.1.6.1.1","157.3","","","","1"
"2024-10","Quebec","2021A000224","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063895","6.7.1.6.1.1","5.0","","","","1"
"2024-10","Quebec","2021A000224","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063896","6.8.1.6.1.1","90.2","","","","1"
"2024-10","Quebec","2021A000224","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063897","6.9.1.6.1.1","85.7","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064078","7.1.1.6.1.1","6573.1","","","","1"
"2024-10","Ontario","2021A000235","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064079","7.2.1.6.1.1","5763.5","","","","1"
"2024-10","Ontario","2021A000235","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064080","7.3.1.6.1.1","5396.5","","","","1"
"2024-10","Ontario","2021A000235","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064081","7.4.1.6.1.1","4842.3","","","","1"
"2024-10","Ontario","2021A000235","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064082","7.5.1.6.1.1","554.2","","","","1"
"2024-10","Ontario","2021A000235","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064083","7.6.1.6.1.1","367.0","","","","1"
"2024-10","Ontario","2021A000235","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064084","7.7.1.6.1.1","6.4","","","","1"
"2024-10","Ontario","2021A000235","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064085","7.8.1.6.1.1","87.7","","","","1"
"2024-10","Ontario","2021A000235","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064086","7.9.1.6.1.1","82.1","","","","1"
"2024-10","Manitoba","2021A000246","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064267","8.1.1.6.1.1","568.7","","","","1"
"2024-10","Manitoba","2021A000246","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064268","8.2.1.6.1.1","506.4","","","","1"
"2024-10","Manitoba","2021A000246","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064269","8.3.1.6.1.1","481.2","","","","1"
"2024-10","Manitoba","2021A000246","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064270","8.4.1.6.1.1","426.8","","","","1"
"2024-10","Manitoba","2021A000246","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064271","8.5.1.6.1.1","54.5","","","","1"
"2024-10","Manitoba","2021A000246","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064272","8.6.1.6.1.1","25.1","","","","1"
"2024-10","Manitoba","2021A000246","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064273","8.7.1.6.1.1","5.0","","","","1"
"2024-10","Manitoba","2021A000246","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064274","8.8.1.6.1.1","89.0","","","","1"
"2024-10","Manitoba","2021A000246","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064275","8.9.1.6.1.1","84.6","","","","1"
"2024-10","Saskatchewan","2021A000247","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064456","9.1.1.6.1.1","465.9","","","","1"
